Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -590.104     -619.389       29.285  1132.8
0.0200         -590.850     -618.023       27.173  1051.1
0.0400         -590.119     -611.858       21.739   840.9
0.0600         -589.019     -612.143       23.124   894.5
0.0800         -588.714     -616.039       27.325  1057.0
0.1000         -588.937     -616.390       27.453  1061.9
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -590.679     -618.321       27.643  1069.3
0.0200         -591.154     -617.123       25.970  1004.6
0.0400         -590.148     -611.840       21.692   839.1
0.0600         -588.646     -611.407       22.761   880.5
0.0800         -588.112     -615.913       27.800  1075.4
0.1000         -588.334     -617.347       29.014  1122.3
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -584.891     -617.066       32.175  1244.6
0.0200         -585.972     -616.455       30.483  1179.2
0.0400         -585.499     -610.110       24.611   952.0
0.0600         -584.324     -609.731       25.407   982.8
0.0800         -583.893     -612.451       28.558  1104.7
0.1000         -583.625     -611.273       27.648  1069.5
