Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -589.049     -616.390       27.341  1057.6
0.0200         -588.935     -615.410       26.475  1024.1
0.0400         -589.008     -615.620       26.612  1029.4
0.0600         -588.966     -616.758       27.792  1075.0
0.0800         -588.977     -617.093       28.116  1087.6
0.1000         -588.885     -615.286       26.402  1021.3
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -587.768     -617.347       29.580  1144.2
0.0200         -587.600     -614.004       26.404  1021.4
0.0400         -587.649     -612.842       25.194   974.5
0.0600         -587.646     -612.768       25.122   971.8
0.0800         -587.533     -612.781       25.247   976.6
0.1000         -587.626     -615.359       27.733  1072.8
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -579.816     -611.273       31.457  1216.8
0.0200         -579.722     -609.947       30.225  1169.2
0.0400         -579.706     -610.482       30.776  1190.5
0.0600         -579.742     -611.807       32.065  1240.3
0.0800         -579.822     -612.830       33.008  1276.8
0.1000         -579.761     -611.884       32.124  1242.6
